CarName_Brand,CarName_Model,CarName_ModelYear,CarName_Engine,CarName_Miles,CarName_gears,CarName_Price,CarName_Region,CarName_Dealer
Volkswagen,Passat,2015,Diesel,14926,Automat,189800,Stockholm,"Riddermark Bil, Veddesta - Järfälla"
Volkswagen,Golf,2017,Bensin,10976,Automat,168900,Stockholm,"Riddermark Bil, Veddesta - Järfälla"
BMW,X6,2017,Diesel,7857,Automat,539900,Stockholm,"Riddermark Bil, Veddesta - Järfälla"
BMW,430,2018,Bensin,4225,Automat,349700,Stockholm,"Riddermark Bil, Veddesta - Järfälla"
Audi,A6,2016,Diesel,17391,Automat,249900,Västmanland,Riddermark bil Västerås
Volvo,S60,2017,Bensin,7493,Automat,339900,Västerbotten,Niemi Bil Skellefteå
Volkswagen,Tiguan,2017,Diesel,12273,Automat,289900,Västerbotten,Niemi Bil Umeå
Volkswagen,Golf,2018,Bensin,9649,Automat,249900,Västerbotten,Niemi Bil Umeå
Audi,Q7,2017,Diesel,14620,Automat,359900,Norrbotten,Niemi Bil AB - Spantgatan
Volvo,V40,2019,Bensin,6567,Automat,209900,Göteborg,Moberg Bil AB - Göteborg
Volvo,V90,2019,Diesel,16075,Automat,214900,Göteborg,Moberg Bil AB - Göteborg
Audi,A4,2018,Diesel,7666,Manuell,219900,Göteborg,Moberg Bil AB - Göteborg
Opel,Corsa,2017,Bensin,8185,Manuell,84900,Stockholm,Svenska Bilgruppen i Haninge AB
BMW,420,2016,Diesel,11900,Automat,199900,Stockholm,Svenska Bilgruppen i Haninge AB
Peugeot,208,2017,Bensin,10389,Automat,109900,Stockholm,Svenska Bilgruppen i Haninge AB
Volkswagen,Tiguan,2016,Diesel,12457,Automat,179900,Stockholm,Svenska Bilgruppen i Haninge AB
BMW,120,2018,Diesel,11948,Automat,214900,Stockholm,Svenska Bilgruppen i Haninge AB
Volvo,V40,2017,Diesel,10884,Manuell,134900,Stockholm,Svenska Bilgruppen i Haninge AB
Audi,A4,2018,Bensin,9256,Automat,289000,Göteborg,Din Bil / Audi Göteborg - Begagnade bilar
Audi,A1,2017,Bensin,3458,Manuell,159000,Göteborg,Din Bil / Audi Göteborg - Begagnade bilar
